Positive,Negative,Neutral,Time
0.045,0.05,0.905,2012-08-20
0.074,0.186,0.74,2012-10-13
0.028,0.141,0.832,2012-08-24
0.146,0.0,0.854,2012-08-13
0.116,0.04,0.844,2010-09-01
0.237,0.0,0.763,2009-12-30
0.189,0.022,0.788,2012-08-14
0.237,0.04,0.722,2010-08-03
0.126,0.0,0.874,2011-03-13
0.062,0.0,0.938,2011-12-30
0.148,0.058,0.794,2011-09-09
0.171,0.2,0.63,2011-01-02
0.122,0.048,0.829,2011-08-26
0.156,0.076,0.767,2012-01-31
0.567,0.0,0.433,2012-06-13
0.169,0.088,0.743,2012-04-18
0.143,0.0,0.857,2010-12-19
0.297,0.11,0.593,2009-02-25
0.0,0.189,0.811,2012-05-18
0.142,0.016,0.842,2012-04-08
0.176,0.0,0.824,2009-03-04
0.157,0.0,0.843,2011-08-27
0.066,0.0,0.934,2012-06-25
0.212,0.148,0.64,2012-06-07
0.25,0.0,0.75,2012-05-29
0.217,0.055,0.728,2012-05-04
0.234,0.031,0.735,2011-12-14
0.435,0.082,0.483,2010-09-12
0.239,0.0,0.761,2011-03-18
0.083,0.0,0.917,2010-05-17
0.096,0.0,0.904,2010-07-07
0.299,0.0,0.701,2010-02-12
0.189,0.0,0.811,2012-08-12
0.072,0.039,0.888,2012-03-04
0.339,0.064,0.597,2011-11-08
0.312,0.0,0.688,2011-11-05
0.125,0.061,0.814,2011-09-25
0.118,0.0,0.882,2011-11-28
0.246,0.0,0.754,2010-04-19
0.41,0.0,0.59,2011-09-05
0.15,0.051,0.8,2011-08-30
0.13,0.05,0.82,2011-08-28
0.194,0.045,0.761,2011-03-05
0.171,0.075,0.755,2010-03-07
0.129,0.051,0.821,2011-09-03
0.11,0.051,0.838,2011-07-13
0.022,0.095,0.883,2008-09-01
0.109,0.0,0.891,2011-11-09
0.202,0.0,0.798,2010-11-16
0.0,0.078,0.922,2011-01-27
0.101,0.015,0.884,2012-09-15
0.167,0.059,0.774,2010-02-14
0.267,0.031,0.702,2010-04-28
0.064,0.027,0.909,2012-10-22
0.266,0.068,0.666,2011-07-15
0.221,0.0,0.779,2011-06-14
0.393,0.0,0.607,2012-03-04
0.109,0.152,0.739,2010-08-22
0.141,0.064,0.794,2010-01-25
0.108,0.139,0.754,2012-08-27
0.176,0.106,0.718,2012-05-28
0.163,0.0,0.837,2012-04-10
0.121,0.025,0.854,2012-08-22
0.244,0.03,0.726,2012-09-10
0.096,0.0,0.904,2012-04-08
0.193,0.0,0.807,2012-07-31
0.169,0.103,0.729,2012-07-31
0.195,0.0,0.805,2011-04-20
0.098,0.11,0.792,2011-04-09
0.166,0.041,0.793,2012-07-10
0.174,0.029,0.798,2012-03-09
0.236,0.064,0.7,2012-02-28
0.28,0.0,0.72,2012-10-20
0.223,0.066,0.71,2012-03-03
0.235,0.0,0.765,2011-12-14
0.24,0.0,0.76,2011-04-14
0.0,0.0,1.0,2010-04-29
0.289,0.081,0.63,2010-05-29
0.103,0.072,0.825,2009-06-20
0.292,0.075,0.633,2012-06-01
0.131,0.0,0.869,2012-10-14
0.398,0.0,0.602,2012-06-27
0.25,0.0,0.75,2010-04-11
0.172,0.047,0.781,2012-04-14
0.0,0.076,0.924,2011-08-07
0.0,0.107,0.893,2012-08-10
0.199,0.0,0.801,2012-09-06
0.172,0.091,0.736,2012-06-16
0.198,0.103,0.699,2011-10-05
0.302,0.034,0.664,2012-09-11
0.079,0.105,0.816,2012-09-20
0.119,0.04,0.841,2012-08-17
0.167,0.0,0.833,2012-09-24
0.387,0.0,0.613,2012-05-15
0.46,0.0,0.54,2011-02-25
0.188,0.106,0.706,2007-12-04
0.026,0.098,0.875,2011-01-17
0.147,0.051,0.802,2012-06-16
0.381,0.0,0.619,2008-12-01
0.138,0.0,0.862,2008-08-02
0.028,0.062,0.911,2012-08-03
0.233,0.0,0.767,2012-05-04
0.174,0.032,0.794,2011-08-10
0.161,0.0,0.839,2011-04-14
0.074,0.062,0.863,2011-02-16
0.132,0.052,0.817,2011-02-06
0.267,0.0,0.733,2011-02-04
0.271,0.037,0.693,2010-09-29
0.157,0.132,0.711,2009-12-15
0.477,0.0,0.523,2009-09-24
0.167,0.025,0.809,2012-07-31
0.288,0.072,0.641,2011-09-07
0.075,0.066,0.859,2010-06-02
0.127,0.049,0.823,2010-04-27
0.246,0.0,0.754,2009-07-14
0.038,0.028,0.934,2010-08-04
0.176,0.032,0.792,2010-09-07
0.136,0.0,0.864,2009-12-26
0.102,0.0,0.898,2008-09-12
0.143,0.0,0.857,2010-07-31
0.163,0.035,0.801,2010-06-11
0.2,0.054,0.745,2010-07-27
0.264,0.039,0.697,2010-03-09
0.191,0.104,0.705,2009-11-20
0.203,0.052,0.745,2011-07-22
0.205,0.09,0.705,2011-03-02
0.209,0.034,0.757,2011-01-12
0.113,0.0,0.887,2009-12-05
0.099,0.12,0.781,2011-12-01
0.239,0.025,0.737,2011-11-26
0.189,0.0,0.811,2012-04-23
0.319,0.0,0.681,2012-04-19
0.187,0.078,0.735,2011-11-05
