Positive,Negative,Neutral,Time
0.073,0.102,0.824,2008-05-02
0.226,0.024,0.75,2008-04-28
0.256,0.029,0.714,2008-02-24
0.17,0.073,0.757,2008-02-17
0.13,0.091,0.779,2007-03-14
0.262,0.0,0.738,2007-08-10
0.081,0.028,0.891,2009-03-25
0.383,0.04,0.577,2012-08-26
0.136,0.0,0.864,2011-11-28
0.383,0.0,0.617,2012-08-31
0.085,0.0,0.915,2012-06-24
0.191,0.1,0.709,2011-04-27
0.195,0.0,0.805,2011-04-27
0.106,0.109,0.785,2012-09-26
0.558,0.0,0.442,2012-01-07
0.118,0.054,0.828,2012-07-20
0.098,0.022,0.88,2010-01-17
0.139,0.176,0.685,2010-03-31
0.095,0.083,0.822,2010-01-31
0.108,0.135,0.758,2010-10-15
0.191,0.247,0.562,2010-09-12
0.091,0.154,0.754,2010-08-24
0.053,0.126,0.821,2010-08-09
0.166,0.0,0.834,2010-06-17
0.239,0.039,0.722,2011-06-16
0.091,0.049,0.86,2012-05-08
0.126,0.016,0.858,2012-02-08
0.07,0.092,0.838,2012-04-15
0.113,0.012,0.875,2012-09-21
0.0,0.22,0.78,2012-08-14
0.185,0.152,0.664,2010-01-20
0.079,0.354,0.566,2012-01-26
0.177,0.0,0.823,2010-09-05
0.214,0.0,0.786,2011-05-13
0.18,0.023,0.796,2011-08-28
0.402,0.0,0.598,2012-09-29
0.206,0.0,0.794,2012-09-27
0.31,0.0,0.69,2012-08-31
0.301,0.0,0.699,2011-05-11
0.158,0.0,0.842,2011-11-14
0.056,0.216,0.727,2012-08-01
0.173,0.038,0.789,2012-10-24
0.197,0.14,0.663,2012-10-15
0.211,0.0,0.789,2011-12-08
0.169,0.023,0.807,2012-01-17
0.251,0.0,0.749,2012-08-15
0.185,0.0,0.815,2012-08-11
0.116,0.033,0.851,2012-05-19
0.37,0.0,0.63,2012-05-17
0.083,0.166,0.75,2012-09-30
0.0,0.278,0.722,2012-03-02
0.168,0.035,0.797,2009-05-24
0.223,0.0,0.777,2012-06-22
0.283,0.0,0.717,2012-05-24
0.323,0.0,0.677,2012-06-25
0.0,0.365,0.635,2012-09-28
0.0,0.0,1.0,2010-02-16
0.166,0.075,0.76,2012-08-17
0.218,0.0,0.782,2012-02-23
0.139,0.047,0.815,2012-06-15
0.214,0.0,0.786,2010-08-31
0.0,0.0,1.0,2012-02-05
0.051,0.17,0.779,2010-01-09
0.092,0.041,0.867,2009-07-18
0.227,0.029,0.744,2010-12-27
0.078,0.139,0.783,2010-12-09
0.056,0.107,0.837,2010-01-05
0.265,0.0,0.735,2010-12-01
0.231,0.075,0.694,2010-11-16
0.0,0.119,0.881,2010-11-20
0.151,0.078,0.77,2010-11-18
0.181,0.037,0.782,2007-11-27
0.122,0.027,0.851,2010-02-07
0.144,0.0,0.856,2008-04-27
0.23,0.022,0.747,2011-03-13
0.118,0.0,0.882,2010-09-29
0.121,0.0,0.879,2010-09-22
0.151,0.0,0.849,2012-01-20
0.159,0.042,0.799,2012-01-19
0.22,0.064,0.716,2011-12-31
0.474,0.0,0.526,2011-09-09
0.289,0.0,0.711,2010-06-13
0.0,0.0,1.0,2012-04-22
0.14,0.143,0.717,2012-03-04
0.134,0.034,0.833,2011-07-16
0.21,0.0,0.79,2011-07-12
0.297,0.0,0.703,2011-07-20
0.303,0.0,0.697,2011-08-03
0.125,0.0,0.875,2010-11-18
0.269,0.0,0.731,2012-04-19
0.21,0.0,0.79,2012-01-17
0.24,0.025,0.735,2011-12-25
0.202,0.0,0.798,2011-12-09
0.168,0.0,0.832,2012-01-21
0.033,0.043,0.925,2010-04-26
0.065,0.018,0.917,2012-08-21
0.279,0.0,0.721,2012-08-06
0.171,0.124,0.705,2011-01-02
0.191,0.092,0.717,2010-11-06
0.126,0.071,0.802,2011-11-17
0.068,0.0,0.932,2011-08-24
0.173,0.045,0.782,2011-06-10
0.218,0.0,0.782,2011-05-03
0.094,0.064,0.842,2012-07-19
0.09,0.05,0.86,2012-03-27
0.562,0.06,0.378,2011-10-18
0.355,0.0,0.645,2012-10-22
0.253,0.119,0.628,2012-10-13
0.105,0.0,0.895,2009-05-11
0.053,0.0,0.947,2010-03-21
0.221,0.0,0.779,2012-03-30
0.316,0.0,0.684,2011-12-07
0.051,0.085,0.864,2010-05-25
0.094,0.025,0.881,2010-09-27
0.124,0.072,0.804,2007-12-19
0.195,0.0,0.805,2010-04-15
0.195,0.04,0.765,2012-10-03
0.033,0.197,0.769,2012-09-26
0.189,0.0,0.811,2012-08-30
0.209,0.0,0.791,2011-05-15
0.237,0.079,0.684,2011-03-18
0.24,0.038,0.722,2011-03-11
0.264,0.0,0.736,2010-04-01
0.223,0.0,0.777,2010-01-01
0.073,0.023,0.904,2009-02-03
0.215,0.0,0.785,2008-11-10
0.333,0.0,0.667,2008-08-04
0.156,0.053,0.791,2008-11-29
0.121,0.0,0.879,2011-12-24
0.156,0.0,0.844,2012-08-29
0.266,0.0,0.734,2011-12-03
0.218,0.049,0.734,2012-09-11
0.12,0.028,0.852,2010-07-10
0.154,0.0,0.846,2011-07-24
0.387,0.0,0.613,2011-04-15
0.236,0.0,0.764,2011-10-27
0.22,0.0,0.78,2011-07-28
0.132,0.051,0.818,2008-09-07
0.25,0.0,0.75,2011-01-24
0.397,0.0,0.603,2011-01-12
0.187,0.011,0.801,2010-12-12
0.128,0.033,0.839,2010-09-03
0.415,0.035,0.551,2009-11-30
0.108,0.08,0.812,2011-06-23
0.457,0.0,0.543,2011-06-22
0.14,0.0,0.86,2010-07-31
0.161,0.042,0.797,2010-07-05
0.256,0.071,0.673,2009-09-03
0.071,0.078,0.851,2012-10-25
0.324,0.09,0.586,2012-09-04
0.146,0.0,0.854,2009-01-07
0.155,0.128,0.717,2007-12-31
0.0,0.0,1.0,2010-06-27
0.046,0.072,0.882,2010-06-16
0.303,0.0,0.697,2008-11-03
0.187,0.155,0.658,2008-07-09
0.135,0.056,0.809,2010-12-31
0.328,0.0,0.672,2007-07-16
0.212,0.152,0.637,2012-06-21
0.145,0.023,0.831,2012-02-21
0.059,0.073,0.868,2011-12-28
0.122,0.012,0.866,2011-09-29
0.133,0.043,0.824,2011-08-23
0.362,0.07,0.568,2010-12-04
0.0,0.0,1.0,2010-05-26
0.356,0.0,0.644,2010-03-15
0.294,0.02,0.686,2010-03-12
0.186,0.029,0.785,2010-02-26
0.311,0.0,0.689,2009-05-19
0.185,0.0,0.815,2009-02-27
0.167,0.0,0.833,2008-07-16
0.253,0.0,0.747,2008-03-30
0.097,0.129,0.773,2011-06-23
0.117,0.0,0.883,2012-01-10
0.214,0.0,0.786,2010-09-17
0.223,0.0,0.777,2010-09-16
0.215,0.009,0.775,2010-10-29
0.178,0.11,0.712,2008-01-27
0.437,0.0,0.563,2007-12-29
0.017,0.089,0.895,2011-01-31
0.205,0.013,0.783,2009-07-30
0.247,0.012,0.741,2009-10-16
0.164,0.0,0.836,2009-10-16
0.037,0.045,0.918,2010-10-13
0.22,0.0,0.78,2009-10-16
0.14,0.0,0.86,2012-05-23
0.275,0.0,0.725,2011-12-19
0.201,0.085,0.714,2011-11-13
0.177,0.018,0.805,2011-09-14
0.399,0.0,0.601,2011-09-01
0.192,0.162,0.646,2011-06-02
0.083,0.145,0.772,2011-04-09
0.161,0.031,0.808,2010-11-16
0.233,0.062,0.705,2010-10-25
0.2,0.0,0.8,2010-09-13
0.075,0.0,0.925,2010-07-12
0.252,0.11,0.638,2010-06-24
0.252,0.094,0.655,2012-10-15
0.318,0.0,0.682,2012-09-19
0.258,0.0,0.742,2012-09-05
0.393,0.0,0.607,2012-07-06
0.139,0.091,0.769,2012-07-04
0.284,0.0,0.716,2012-05-17
0.242,0.088,0.67,2011-10-08
0.126,0.06,0.814,2011-09-14
0.303,0.066,0.631,2011-09-01
0.092,0.103,0.805,2011-03-08
0.083,0.065,0.852,2011-02-24
0.171,0.036,0.794,2011-02-10
0.204,0.0,0.796,2011-02-10
0.167,0.037,0.797,2011-01-29
0.332,0.0,0.668,2011-01-01
0.279,0.023,0.698,2010-12-29
0.142,0.0,0.858,2010-12-02
0.172,0.041,0.786,2010-10-08
0.432,0.034,0.534,2010-04-05
0.121,0.047,0.833,2010-01-11
0.223,0.0,0.777,2010-01-05
0.358,0.0,0.642,2009-11-11
0.168,0.056,0.776,2009-08-04
0.352,0.0,0.648,2009-07-06
0.037,0.344,0.62,2011-07-10
0.177,0.124,0.698,2011-01-09
0.375,0.0,0.625,2009-04-26
0.06,0.018,0.922,2011-08-07
0.333,0.0,0.667,2010-10-13
0.241,0.0,0.759,2010-04-05
0.135,0.092,0.774,2011-10-28
0.186,0.0,0.814,2011-04-06
0.541,0.062,0.397,2012-08-05
0.184,0.158,0.658,2007-04-03
0.398,0.0,0.602,2010-01-22
0.353,0.0,0.647,2010-01-21
0.358,0.0,0.642,2009-12-22
0.193,0.0,0.807,2010-06-10
0.148,0.023,0.829,2011-03-04
0.15,0.0,0.85,2009-09-02
0.296,0.041,0.663,2012-01-15
0.139,0.103,0.758,2011-05-24
0.0,0.113,0.887,2012-01-30
0.02,0.066,0.913,2012-09-18
0.28,0.0,0.72,2012-05-30
0.0,0.058,0.942,2012-04-26
0.169,0.153,0.677,2009-07-04
0.05,0.022,0.928,2009-08-02
0.177,0.039,0.784,2012-10-16
0.147,0.0,0.853,2012-09-07
0.068,0.0,0.932,2012-01-31
0.042,0.162,0.796,2012-08-12
0.264,0.0,0.736,2008-12-02
0.141,0.0,0.859,2009-12-06
0.194,0.04,0.766,2007-10-07
0.334,0.0,0.666,2009-08-15
0.229,0.122,0.649,2007-03-08
0.168,0.026,0.806,2010-02-09
0.259,0.0,0.741,2007-11-14
0.154,0.0,0.846,2009-05-31
0.069,0.056,0.876,2007-06-17
0.129,0.036,0.836,2009-11-29
0.12,0.089,0.791,2009-09-24
0.339,0.0,0.661,2009-09-12
0.516,0.0,0.484,2007-06-12
0.233,0.0,0.767,2011-02-16
0.117,0.0,0.883,2012-07-08
0.219,0.0,0.781,2012-01-04
0.154,0.0,0.846,2012-03-06
0.172,0.022,0.805,2011-06-09
0.163,0.059,0.778,2011-07-04
0.195,0.0,0.805,2012-01-14
0.215,0.0,0.785,2011-12-20
0.326,0.0,0.674,2011-12-19
0.301,0.032,0.667,2011-12-16
0.367,0.0,0.633,2011-12-13
0.338,0.0,0.662,2011-12-13
0.114,0.0,0.886,2011-12-13
0.172,0.0,0.828,2011-12-13
0.253,0.026,0.721,2012-03-16
0.214,0.0,0.786,2012-02-02
0.327,0.0,0.673,2011-12-19
0.062,0.063,0.874,2012-05-04
0.034,0.027,0.939,2012-03-22
0.222,0.083,0.695,2011-01-28
0.109,0.061,0.83,2011-03-31
0.146,0.0,0.854,2010-12-26
0.305,0.058,0.637,2011-08-15
0.174,0.0,0.826,2011-07-06
0.288,0.0,0.712,2011-05-22
0.392,0.0,0.608,2011-05-10
0.14,0.111,0.75,2012-10-04
0.094,0.07,0.836,2012-01-11
0.089,0.0,0.911,2012-05-12
0.206,0.0,0.794,2008-11-11
0.365,0.0,0.635,2011-03-02
0.069,0.153,0.778,2012-02-14
0.26,0.0,0.74,2012-01-05
0.176,0.026,0.798,2009-06-09
0.0,0.0,1.0,2010-08-30
0.088,0.004,0.907,2011-04-28
0.0,0.093,0.907,2011-03-29
0.2,0.027,0.773,2012-08-26
0.134,0.032,0.834,2012-07-18
0.234,0.0,0.766,2010-10-15
0.163,0.05,0.787,2011-09-04
0.249,0.055,0.697,2011-08-26
0.253,0.065,0.681,2011-08-09
0.262,0.0,0.738,2011-05-10
0.228,0.0,0.772,2011-05-04
0.0,0.166,0.834,2011-04-25
0.172,0.054,0.774,2011-04-18
0.171,0.03,0.799,2010-07-05
0.219,0.059,0.721,2010-01-17
0.443,0.038,0.519,2009-12-01
0.15,0.0,0.85,2009-06-09
0.209,0.064,0.726,2012-01-09
0.342,0.0,0.658,2012-01-07
0.263,0.115,0.622,2011-11-11
